

ticker,shares,cost_basis
GOOGL, 0.384, 179.31
ABEA.DE, 2, 151.66
MU, 0.8, 92.22
VKTX, 4.1696, 65.49
PK, 23, 13.34
BRZE, 7, 30.8
VALE, 51, 10.51
PBR, 15, 13.53
PBR-A, 18, 12.66
RHM.DE, 0,1312, 1478.87
HAG.DE, 1.5, 93.08
TKA.DE, 9.607, 10.355
SAAB-B.ST, 2.5, 395.46
BA.L, 2, 19.303
LDO.MI, 1, 42.47
KOMB.PR, 20, 877.27
CZG.PR, 11, 683.56
CEZ.PR, 12, 962.17
ASML, 0.4, 683.33
NVO, 1, 82.72
ACLS, 2, 77.09
MDLZ, 0.5, 66.38
KO, 1, 61.97
EXAS, 1, 50.86
CIVI, 2, 47.06
LPG, 11, 30.55
IMVT, 2, 30.45
FIVN, 2, 29,79
ANGI, 1, 20.5
OXSQ, 16, 2.83
MSFT, 0.2, 433.50
